"Notes"	"State"	"State Code"	"Year"	"Year Code"	"Gender"	"Gender Code"	Deaths	Population	Crude Rate	% of Total Deaths
	"Florida"	"12"	"1970"	"1970"	"Female"	"F"	363	3521776	10.3	0.1%
	"Florida"	"12"	"1970"	"1970"	"Male"	"M"	683	3284361	20.8	0.2%
"Total"	"Florida"	"12"	"1970"	"1970"			1046	6806137	15.4	0.4%
	"Florida"	"12"	"1971"	"1971"	"Female"	"F"	309	3710896	8.3	0.1%
	"Florida"	"12"	"1971"	"1971"	"Male"	"M"	697	3464538	20.1	0.3%
"Total"	"Florida"	"12"	"1971"	"1971"			1006	7175434	14.0	0.4%
	"Florida"	"12"	"1972"	"1972"	"Female"	"F"	342	3890093	8.8	0.1%
	"Florida"	"12"	"1972"	"1972"	"Male"	"M"	846	3632635	23.3	0.3%
"Total"	"Florida"	"12"	"1972"	"1972"			1188	7522728	15.8	0.4%
	"Florida"	"12"	"1973"	"1973"	"Female"	"F"	384	4099590	9.4	0.1%
	"Florida"	"12"	"1973"	"1973"	"Male"	"M"	906	3824240	23.7	0.3%
"Total"	"Florida"	"12"	"1973"	"1973"			1290	7923830	16.3	0.5%
	"Florida"	"12"	"1974"	"1974"	"Female"	"F"	434	4303222	10.1	0.2%
	"Florida"	"12"	"1974"	"1974"	"Male"	"M"	928	4010373	23.1	0.3%
"Total"	"Florida"	"12"	"1974"	"1974"			1362	8313595	16.4	0.5%
	"Florida"	"12"	"1975"	"1975"	"Female"	"F"	453	4420135	10.2	0.2%
	"Florida"	"12"	"1975"	"1975"	"Male"	"M"	1042	4113458	25.3	0.4%
"Total"	"Florida"	"12"	"1975"	"1975"			1495	8533593	17.5	0.5%
	"Florida"	"12"	"1976"	"1976"	"Female"	"F"	439	4506123	9.7	0.2%
	"Florida"	"12"	"1976"	"1976"	"Male"	"M"	1027	4184990	24.5	0.4%
"Total"	"Florida"	"12"	"1976"	"1976"			1466	8691113	16.9	0.5%
	"Florida"	"12"	"1977"	"1977"	"Female"	"F"	457	4613453	9.9	0.2%
	"Florida"	"12"	"1977"	"1977"	"Male"	"M"	1100	4278898	25.7	0.4%
"Total"	"Florida"	"12"	"1977"	"1977"			1557	8892351	17.5	0.6%
	"Florida"	"12"	"1978"	"1978"	"Female"	"F"	450	4744331	9.5	0.2%
	"Florida"	"12"	"1978"	"1978"	"Male"	"M"	1083	4392458	24.7	0.4%
"Total"	"Florida"	"12"	"1978"	"1978"			1533	9136789	16.8	0.6%
"Total"	"Florida"	"12"					13802	85941612	16.1	5.0%
	"Georgia"	"13"	"1968"	"1968"	"Female"	"F"	129	2278135	5.7	0.0%
	"Georgia"	"13"	"1968"	"1968"	"Male"	"M"	368	2166941	17.0	0.1%
"Total"	"Georgia"	"13"	"1968"	"1968"			497	4445076	11.2	0.2%
	"Georgia"	"13"	"1969"	"1969"	"Female"	"F"	120	2324241	5.2	0.0%
	"Georgia"	"13"	"1969"	"1969"	"Male"	"M"	393	2202287	17.8	0.1%
"Total"	"Georgia"	"13"	"1969"	"1969"			513	4526528	11.3	0.2%
	"Georgia"	"13"	"1970"	"1970"	"Female"	"F"	138	2365027	5.8	0.0%
	"Georgia"	"13"	"1970"	"1970"	"Male"	"M"	405	2235423	18.1	0.1%
"Total"	"Georgia"	"13"	"1970"	"1970"			543	4600450	11.8	0.2%
	"Georgia"	"13"	"1971"	"1971"	"Female"	"F"	115	2427386	4.7	0.0%
	"Georgia"	"13"	"1971"	"1971"	"Male"	"M"	410	2290405	17.9	0.1%
"Total"	"Georgia"	"13"	"1971"	"1971"			525	4717791	11.1	0.2%
	"Georgia"	"13"	"1972"	"1972"	"Female"	"F"	164	2476382	6.6	0.1%
	"Georgia"	"13"	"1972"	"1972"	"Male"	"M"	436	2331382	18.7	0.2%
"Total"	"Georgia"	"13"	"1972"	"1972"			600	4807764	12.5	0.2%
	"Georgia"	"13"	"1973"	"1973"	"Female"	"F"	174	2530193	6.9	0.1%
	"Georgia"	"13"	"1973"	"1973"	"Male"	"M"	457	2375097	19.2	0.2%
"Total"	"Georgia"	"13"	"1973"	"1973"			631	4905290	12.9	0.2%
	"Georgia"	"13"	"1974"	"1974"	"Female"	"F"	172	2575140	6.7	0.1%
	"Georgia"	"13"	"1974"	"1974"	"Male"	"M"	501	2416835	20.7	0.2%
"Total"	"Georgia"	"13"	"1974"	"1974"			673	4991975	13.5	0.2%
	"Georgia"	"13"	"1975"	"1975"	"Female"	"F"	217	2608195	8.3	0.1%
	"Georgia"	"13"	"1975"	"1975"	"Male"	"M"	571	2445326	23.4	0.2%
"Total"	"Georgia"	"13"	"1975"	"1975"			788	5053521	15.6	0.3%
	"Georgia"	"13"	"1976"	"1976"	"Female"	"F"	162	2642023	6.1	0.1%
	"Georgia"	"13"	"1976"	"1976"	"Male"	"M"	511	2481767	20.6	0.2%
"Total"	"Georgia"	"13"	"1976"	"1976"			673	5123790	13.1	0.2%
	"Georgia"	"13"	"1977"	"1977"	"Female"	"F"	191	2691021	7.1	0.1%
	"Georgia"	"13"	"1977"	"1977"	"Male"	"M"	513	2524475	20.3	0.2%
"Total"	"Georgia"	"13"	"1977"	"1977"			704	5215496	13.5	0.3%
	"Georgia"	"13"	"1978"	"1978"	"Female"	"F"	172	2730970	6.3	0.1%
	"Georgia"	"13"	"1978"	"1978"	"Male"	"M"	516	2558410	20.2	0.2%
"Total"	"Georgia"	"13"	"1978"	"1978"			688	5289380	13.0	0.2%
"Total"	"Georgia"	"13"					6835	53677061	12.7	2.5%
	"Hawaii"	"15"	"1968"	"1968"	"Female"	"F"	16	359338	4.5 (Unreliable)	0.0%
	"Hawaii"	"15"	"1968"	"1968"	"Male"	"M"	41	389603	10.5	0.0%
"Total"	"Hawaii"	"15"	"1968"	"1968"			57	748941	7.6	0.0%
	"Hawaii"	"15"	"1969"	"1969"	"Female"	"F"	14	364947	3.8 (Unreliable)	0.0%
	"Hawaii"	"15"	"1969"	"1969"	"Male"	"M"	58	394690	14.7	0.0%
"Total"	"Hawaii"	"15"	"1969"	"1969"			72	759637	9.5	0.0%
	"Hawaii"	"15"	"1970"	"1970"	"Female"	"F"	27	370983	7.3	0.0%
	"Hawaii"	"15"	"1970"	"1970"	"Male"	"M"	52	401176	13.0	0.0%
"Total"	"Hawaii"	"15"	"1970"	"1970"			79	772159	10.2	0.0%
	"Hawaii"	"15"	"1971"	"1971"	"Female"	"F"	26	385308	6.7	0.0%
	"Hawaii"	"15"	"1971"	"1971"	"Male"	"M"	71	417241	17.0	0.0%
"Total"	"Hawaii"	"15"	"1971"	"1971"			97	802549	12.1	0.0%
	"Hawaii"	"15"	"1972"	"1972"	"Female"	"F"	30	397984	7.5	0.0%
	"Hawaii"	"15"	"1972"	"1972"	"Male"	"M"	54	430256	12.6	0.0%
"Total"	"Hawaii"	"15"	"1972"	"1972"			84	828240	10.1	0.0%
	"Hawaii"	"15"	"1973"	"1973"	"Female"	"F"	32	409250	7.8	0.0%
	"Hawaii"	"15"	"1973"	"1973"	"Male"	"M"	56	441738	12.7	0.0%
"Total"	"Hawaii"	"15"	"1973"	"1973"			88	850988	10.3	0.0%
	"Hawaii"	"15"	"1974"	"1974"	"Female"	"F"	34	417909	8.1	0.0%
	"Hawaii"	"15"	"1974"	"1974"	"Male"	"M"	64	449378	14.2	0.0%
"Total"	"Hawaii"	"15"	"1974"	"1974"			98	867287	11.3	0.0%
	"Hawaii"	"15"	"1975"	"1975"	"Female"	"F"	24	427306	5.6	0.0%
	"Hawaii"	"15"	"1975"	"1975"	"Male"	"M"	51	458121	11.1	0.0%
"Total"	"Hawaii"	"15"	"1975"	"1975"			75	885427	8.5	0.0%
	"Hawaii"	"15"	"1976"	"1976"	"Female"	"F"	25	437428	5.7	0.0%
	"Hawaii"	"15"	"1976"	"1976"	"Male"	"M"	64	466538	13.7	0.0%
"Total"	"Hawaii"	"15"	"1976"	"1976"			89	903966	9.8	0.0%
	"Hawaii"	"15"	"1977"	"1977"	"Female"	"F"	39	445430	8.8	0.0%
	"Hawaii"	"15"	"1977"	"1977"	"Male"	"M"	76	472715	16.1	0.0%
"Total"	"Hawaii"	"15"	"1977"	"1977"			115	918145	12.5	0.0%
	"Hawaii"	"15"	"1978"	"1978"	"Female"	"F"	23	451440	5.1	0.0%
	"Hawaii"	"15"	"1978"	"1978"	"Male"	"M"	83	479459	17.3	0.0%
"Total"	"Hawaii"	"15"	"1978"	"1978"			106	930899	11.4	0.0%
"Total"	"Hawaii"	"15"					960	9268238	10.4	0.3%
	"Idaho"	"16"	"1968"	"1968"	"Female"	"F"	18	342027	5.3 (Unreliable)	0.0%
	"Idaho"	"16"	"1968"	"1968"	"Male"	"M"	72	340927	21.1	0.0%
"Total"	"Idaho"	"16"	"1968"	"1968"			90	682954	13.2	0.0%
	"Idaho"	"16"	"1969"	"1969"	"Female"	"F"	21	350588	6.0	0.0%
	"Idaho"	"16"	"1969"	"1969"	"Male"	"M"	63	348945	18.1	0.0%
"Total"	"Idaho"	"16"	"1969"	"1969"			84	699533	12.0	0.0%
	"Idaho"	"16"	"1970"	"1970"	"Female"	"F"	30	357711	8.4	0.0%
	"Idaho"	"16"	"1970"	"1970"	"Male"	"M"	82	357006	23.0	0.0%
"Total"	"Idaho"	"16"	"1970"	"1970"			112	714717	15.7	0.0%
	"Idaho"	"16"	"1971"	"1971"	"Female"	"F"	22	370081	5.9	0.0%
	"Idaho"	"16"	"1971"	"1971"	"Male"	"M"	100	369677	27.1	0.0%
"Total"	"Idaho"	"16"	"1971"	"1971"			122	739758	16.5	0.0%
	"Idaho"	"16"	"1972"	"1972"	"Female"	"F"	16	381332	4.2 (Unreliable)	0.0%
	"Idaho"	"16"	"1972"	"1972"	"Male"	"M"	74	382075	19.4	0.0%
"Total"	"Idaho"	"16"	"1972"	"1972"			90	763407	11.8	0.0%
	"Idaho"	"16"	"1973"	"1973"	"Female"	"F"	15	390598	3.8 (Unreliable)	0.0%
	"Idaho"	"16"	"1973"	"1973"	"Male"	"M"	82	391572	20.9	0.0%
"Total"	"Idaho"	"16"	"1973"	"1973"			97	782170	12.4	0.0%
	"Idaho"	"16"	"1974"	"1974"	"Female"	"F"	30	403958	7.4	0.0%
	"Idaho"	"16"	"1974"	"1974"	"Male"	"M"	97	404731	24.0	0.0%
"Total"	"Idaho"	"16"	"1974"	"1974"			127	808689	15.7	0.0%
	"Idaho"	"16"	"1975"	"1975"	"Female"	"F"	31	416175	7.4	0.0%
	"Idaho"	"16"	"1975"	"1975"	"Male"	"M"	101	416741	24.2	0.0%
"Total"	"Idaho"	"16"	"1975"	"1975"			132	832916	15.8	0.0%
	"Idaho"	"16"	"1976"	"1976"	"Female"	"F"	28	429161	6.5	0.0%
	"Idaho"	"16"	"1976"	"1976"	"Male"	"M"	108	429664	25.1	0.0%
"Total"	"Idaho"	"16"	"1976"	"1976"			136	858825	15.8	0.0%
	"Idaho"	"16"	"1977"	"1977"	"Female"	"F"	27	443116	6.1	0.0%
	"Idaho"	"16"	"1977"	"1977"	"Male"	"M"	115	443037	26.0	0.0%
"Total"	"Idaho"	"16"	"1977"	"1977"			142	886153	16.0	0.1%
	"Idaho"	"16"	"1978"	"1978"	"Female"	"F"	21	456995	4.6	0.0%
	"Idaho"	"16"	"1978"	"1978"	"Male"	"M"	97	456262	21.3	0.0%
"Total"	"Idaho"	"16"	"1978"	"1978"			118	913257	12.9	0.0%
"Total"	"Idaho"	"16"					1250	8682379	14.4	0.5%
	"Illinois"	"17"	"1968"	"1968"	"Female"	"F"	274	5675442	4.8	0.1%
	"Illinois"	"17"	"1968"	"1968"	"Male"	"M"	723	5354931	13.5	0.3%
"Total"	"Illinois"	"17"	"1968"	"1968"			997	11030373	9.0	0.4%
	"Illinois"	"17"	"1969"	"1969"	"Female"	"F"	298	5699942	5.2	0.1%
	"Illinois"	"17"	"1969"	"1969"	"Male"	"M"	685	5369433	12.8	0.2%
"Total"	"Illinois"	"17"	"1969"	"1969"			983	11069375	8.9	0.4%
	"Illinois"	"17"	"1970"	"1970"	"Female"	"F"	320	5729532	5.6	0.1%
	"Illinois"	"17"	"1970"	"1970"	"Male"	"M"	692	5401340	12.8	0.2%
"Total"	"Illinois"	"17"	"1970"	"1970"			1012	11130872	9.1	0.4%
	"Illinois"	"17"	"1971"	"1971"	"Female"	"F"	296	5769444	5.1	0.1%
	"Illinois"	"17"	"1971"	"1971"	"Male"	"M"	694	5444877	12.7	0.3%
"Total"	"Illinois"	"17"	"1971"	"1971"			990	11214321	8.8	0.4%
	"Illinois"	"17"	"1972"	"1972"	"Female"	"F"	312	5786188	5.4	0.1%
	"Illinois"	"17"	"1972"	"1972"	"Male"	"M"	746	5465879	13.6	0.3%
"Total"	"Illinois"	"17"	"1972"	"1972"			1058	11252067	9.4	0.4%
	"Illinois"	"17"	"1973"	"1973"	"Female"	"F"	278	5787720	4.8	0.1%
	"Illinois"	"17"	"1973"	"1973"	"Male"	"M"	750	5461775	13.7	0.3%
"Total"	"Illinois"	"17"	"1973"	"1973"			1028	11249495	9.1	0.4%
	"Illinois"	"17"	"1974"	"1974"	"Female"	"F"	238	5799388	4.1	0.1%
	"Illinois"	"17"	"1974"	"1974"	"Male"	"M"	629	5468584	11.5	0.2%
"Total"	"Illinois"	"17"	"1974"	"1974"			867	11267972	7.7	0.3%
	"Illinois"	"17"	"1975"	"1975"	"Female"	"F"	255	5822161	4.4	0.1%
	"Illinois"	"17"	"1975"	"1975"	"Male"	"M"	725	5483444	13.2	0.3%
"Total"	"Illinois"	"17"	"1975"	"1975"			980	11305605	8.7	0.4%
	"Illinois"	"17"	"1976"	"1976"	"Female"	"F"	286	5852640	4.9	0.1%
	"Illinois"	"17"	"1976"	"1976"	"Male"	"M"	774	5513150	14.0	0.3%
"Total"	"Illinois"	"17"	"1976"	"1976"			1060	11365790	9.3	0.4%
	"Illinois"	"17"	"1977"	"1977"	"Female"	"F"	304	5880692	5.2	0.1%
	"Illinois"	"17"	"1977"	"1977"	"Male"	"M"	863	5539240	15.6	0.3%
"Total"	"Illinois"	"17"	"1977"	"1977"			1167	11419932	10.2	0.4%
	"Illinois"	"17"	"1978"	"1978"	"Female"	"F"	290	5896521	4.9	0.1%
	"Illinois"	"17"	"1978"	"1978"	"Male"	"M"	831	5547616	15.0	0.3%
"Total"	"Illinois"	"17"	"1978"	"1978"			1121	11444137	9.8	0.4%
"Total"	"Illinois"	"17"					11263	123749939	9.1	4.1%
	"Indiana"	"18"	"1968"	"1968"	"Female"	"F"	143	2634338	5.4	0.1%
	"Indiana"	"18"	"1968"	"1968"	"Male"	"M"	399	2506002	15.9	0.1%
"Total"	"Indiana"	"18"	"1968"	"1968"			542	5140340	10.5	0.2%
	"Indiana"	"18"	"1969"	"1969"	"Female"	"F"	155	2650664	5.8	0.1%
	"Indiana"	"18"	"1969"	"1969"	"Male"	"M"	422	2517162	16.8	0.2%
"Total"	"Indiana"	"18"	"1969"	"1969"			577	5167826	11.2	0.2%
	"Indiana"	"18"	"1970"	"1970"	"Female"	"F"	146	2667423	5.5	0.1%
	"Indiana"	"18"	"1970"	"1970"	"Male"	"M"	411	2536310	16.2	0.1%
"Total"	"Indiana"	"18"	"1970"	"1970"			557	5203733	10.7	0.2%
	"Indiana"	"18"	"1971"	"1971"	"Female"	"F"	159	2691454	5.9	0.1%
	"Indiana"	"18"	"1971"	"1971"	"Male"	"M"	432	2562753	16.9	0.2%
"Total"	"Indiana"	"18"	"1971"	"1971"			591	5254207	11.2	0.2%
	"Indiana"	"18"	"1972"	"1972"	"Female"	"F"	152	2709763	5.6	0.1%
	"Indiana"	"18"	"1972"	"1972"	"Male"	"M"	346	2582744	13.4	0.1%
"Total"	"Indiana"	"18"	"1972"	"1972"			498	5292507	9.4	0.2%
	"Indiana"	"18"	"1973"	"1973"	"Female"	"F"	161	2726116	5.9	0.1%
	"Indiana"	"18"	"1973"	"1973"	"Male"	"M"	433	2597219	16.7	0.2%
"Total"	"Indiana"	"18"	"1973"	"1973"			594	5323335	11.2	0.2%
	"Indiana"	"18"	"1974"	"1974"	"Female"	"F"	139	2739468	5.1	0.1%
	"Indiana"	"18"	"1974"	"1974"	"Male"	"M"	452	2605792	17.3	0.2%
"Total"	"Indiana"	"18"	"1974"	"1974"			591	5345260	11.1	0.2%
	"Indiana"	"18"	"1975"	"1975"	"Female"	"F"	122	2743222	4.4	0.0%
	"Indiana"	"18"	"1975"	"1975"	"Male"	"M"	477	2604695	18.3	0.2%
"Total"	"Indiana"	"18"	"1975"	"1975"			599	5347917	11.2	0.2%
	"Indiana"	"18"	"1976"	"1976"	"Female"	"F"	144	2755706	5.2	0.1%
	"Indiana"	"18"	"1976"	"1976"	"Male"	"M"	424	2614356	16.2	0.2%
"Total"	"Indiana"	"18"	"1976"	"1976"			568	5370062	10.6	0.2%
	"Indiana"	"18"	"1977"	"1977"	"Female"	"F"	172	2777091	6.2	0.1%
	"Indiana"	"18"	"1977"	"1977"	"Male"	"M"	519	2631776	19.7	0.2%
"Total"	"Indiana"	"18"	"1977"	"1977"			691	5408867	12.8	0.2%
	"Indiana"	"18"	"1978"	"1978"	"Female"	"F"	151	2799259	5.4	0.1%
	"Indiana"	"18"	"1978"	"1978"	"Male"	"M"	491	2648764	18.5	0.2%
"Total"	"Indiana"	"18"	"1978"	"1978"			642	5448023	11.8	0.2%
"Total"	"Indiana"	"18"					6450	58302077	11.1	2.3%
	"Iowa"	"19"	"1968"	"1968"	"Female"	"F"	72	1439106	5.0	0.0%
	"Iowa"	"19"	"1968"	"1968"	"Male"	"M"	218	1361534	16.0	0.1%
"Total"	"Iowa"	"19"	"1968"	"1968"			290	2800640	10.4	0.1%
	"Iowa"	"19"	"1969"	"1969"	"Female"	"F"	81	1445976	5.6	0.0%
	"Iowa"	"19"	"1969"	"1969"	"Male"	"M"	234	1365740	17.1	0.1%
"Total"	"Iowa"	"19"	"1969"	"1969"			315	2811716	11.2	0.1%
	"Iowa"	"19"	"1970"	"1970"	"Female"	"F"	79	1452644	5.4	0.0%
	"Iowa"	"19"	"1970"	"1970"	"Male"	"M"	250	1374368	18.2	0.1%
"Total"	"Iowa"	"19"	"1970"	"1970"			329	2827012	11.6	0.1%
	"Iowa"	"19"	"1971"	"1971"	"Female"	"F"	88	1463513	6.0	0.0%
	"Iowa"	"19"	"1971"	"1971"	"Male"	"M"	272	1386807	19.6	0.1%
"Total"	"Iowa"	"19"	"1971"	"1971"			360	2850320	12.6	0.1%
	"Iowa"	"19"	"1972"	"1972"	"Female"	"F"	76	1465004	5.2	0.0%
	"Iowa"	"19"	"1972"	"1972"	"Male"	"M"	204	1390434	14.7	0.1%
"Total"	"Iowa"	"19"	"1972"	"1972"			280	2855438	9.8	0.1%
	"Iowa"	"19"	"1973"	"1973"	"Female"	"F"	74	1466888	5.0	0.0%
	"Iowa"	"19"	"1973"	"1973"	"Male"	"M"	240	1391277	17.3	0.1%
"Total"	"Iowa"	"19"	"1973"	"1973"			314	2858165	11.0	0.1%
	"Iowa"	"19"	"1974"	"1974"	"Female"	"F"	68	1470112	4.6	0.0%
	"Iowa"	"19"	"1974"	"1974"	"Male"	"M"	255	1394413	18.3	0.1%
"Total"	"Iowa"	"19"	"1974"	"1974"			323	2864525	11.3	0.1%
	"Iowa"	"19"	"1975"	"1975"	"Female"	"F"	83	1478756	5.6	0.0%
	"Iowa"	"19"	"1975"	"1975"	"Male"	"M"	240	1401559	17.1	0.1%
"Total"	"Iowa"	"19"	"1975"	"1975"			323	2880315	11.2	0.1%
	"Iowa"	"19"	"1976"	"1976"	"Female"	"F"	67	1490645	4.5	0.0%
	"Iowa"	"19"	"1976"	"1976"	"Male"	"M"	248	1413050	17.6	0.1%
"Total"	"Iowa"	"19"	"1976"	"1976"			315	2903695	10.8	0.1%
	"Iowa"	"19"	"1977"	"1977"	"Female"	"F"	70	1497809	4.7	0.0%
	"Iowa"	"19"	"1977"	"1977"	"Male"	"M"	266	1419603	18.7	0.1%
"Total"	"Iowa"	"19"	"1977"	"1977"			336	2917412	11.5	0.1%
	"Iowa"	"19"	"1978"	"1978"	"Female"	"F"	72	1499908	4.8	0.0%
	"Iowa"	"19"	"1978"	"1978"	"Male"	"M"	272	1421062	19.1	0.1%
"Total"	"Iowa"	"19"	"1978"	"1978"			344	2920970	11.8	0.1%
"Total"	"Iowa"	"19"					3529	31490208	11.2	1.3%
	"Kansas"	"20"	"1968"	"1968"	"Female"	"F"	71	1152384	6.2	0.0%
	"Kansas"	"20"	"1968"	"1968"	"Male"	"M"	195	1110332	17.6	0.1%
"Total"	"Kansas"	"20"	"1968"	"1968"			266	2262716	11.8	0.1%
	"Kansas"	"20"	"1969"	"1969"	"Female"	"F"	64	1148660	5.6	0.0%
	"Kansas"	"20"	"1969"	"1969"	"Male"	"M"	207	1105197	18.7	0.1%
"Total"	"Kansas"	"20"	"1969"	"1969"			271	2253857	12.0	0.1%
	"Kansas"	"20"	"1970"	"1970"	"Female"	"F"	50	1147651	4.4	0.0%
	"Kansas"	"20"	"1970"	"1970"	"Male"	"M"	203	1104578	18.4	0.1%
"Total"	"Kansas"	"20"	"1970"	"1970"			253	2252229	11.2	0.1%
	"Kansas"	"20"	"1971"	"1971"	"Female"	"F"	59	1144607	5.2	0.0%
	"Kansas"	"20"	"1971"	"1971"	"Male"	"M"	175	1102999	15.9	0.1%
"Total"	"Kansas"	"20"	"1971"	"1971"			234	2247606	10.4	0.1%
	"Kansas"	"20"	"1972"	"1972"	"Female"	"F"	74	1147383	6.4	0.0%
	"Kansas"	"20"	"1972"	"1972"	"Male"	"M"	228	1106884	20.6	0.1%
"Total"	"Kansas"	"20"	"1972"	"1972"			302	2254267	13.4	0.1%
	"Kansas"	"20"	"1973"	"1973"	"Female"	"F"	69	1152033	6.0	0.0%
	"Kansas"	"20"	"1973"	"1973"	"Male"	"M"	198	1110311	17.8	0.1%
"Total"	"Kansas"	"20"	"1973"	"1973"			267	2262344	11.8	0.1%
	"Kansas"	"20"	"1974"	"1974"	"Female"	"F"	69	1155366	6.0	0.0%
	"Kansas"	"20"	"1974"	"1974"	"Male"	"M"	229	1111920	20.6	0.1%
"Total"	"Kansas"	"20"	"1974"	"1974"			298	2267286	13.1	0.1%
	"Kansas"	"20"	"1975"	"1975"	"Female"	"F"	77	1162793	6.6	0.0%
	"Kansas"	"20"	"1975"	"1975"	"Male"	"M"	221	1116911	19.8	0.1%
"Total"	"Kansas"	"20"	"1975"	"1975"			298	2279704	13.1	0.1%
	"Kansas"	"20"	"1976"	"1976"	"Female"	"F"	62	1173965	5.3	0.0%
	"Kansas"	"20"	"1976"	"1976"	"Male"	"M"	197	1127645	17.5	0.1%
"Total"	"Kansas"	"20"	"1976"	"1976"			259	2301610	11.3	0.1%
	"Kansas"	"20"	"1977"	"1977"	"Female"	"F"	63	1184007	5.3	0.0%
	"Kansas"	"20"	"1977"	"1977"	"Male"	"M"	229	1138000	20.1	0.1%
"Total"	"Kansas"	"20"	"1977"	"1977"			292	2322007	12.6	0.1%
	"Kansas"	"20"	"1978"	"1978"	"Female"	"F"	54	1192128	4.5	0.0%
	"Kansas"	"20"	"1978"	"1978"	"Male"	"M"	199	1143705	17.4	0.1%
"Total"	"Kansas"	"20"	"1978"	"1978"			253	2335833	10.8	0.1%
"Total"	"Kansas"	"20"					2993	25039459	12.0	1.1%
	"Kentucky"	"21"	"1968"	"1968"	"Female"	"F"	90	1591386	5.7	0.0%
	"Kentucky"	"21"	"1968"	"1968"	"Male"	"M"	279	1539585	18.1	0.1%
"Total"	"Kentucky"	"21"	"1968"	"1968"			369	3130971	11.8	0.1%
	"Kentucky"	"21"	"1969"	"1969"	"Female"	"F"	76	1618851	4.7	0.0%
	"Kentucky"	"21"	"1969"	"1969"	"Male"	"M"	262	1561537	16.8	0.1%
"Total"	"Kentucky"	"21"	"1969"	"1969"			338	3180388	10.6	0.1%
	"Kentucky"	"21"	"1970"	"1970"	"Female"	"F"	77	1643534	4.7	0.0%
	"Kentucky"	"21"	"1970"	"1970"	"Male"	"M"	301	1583130	19.0	0.1%
"Total"	"Kentucky"	"21"	"1970"	"1970"			378	3226664	11.7	0.1%
	"Kentucky"	"21"	"1971"	"1971"	"Female"	"F"	96	1682886	5.7	0.0%
	"Kentucky"	"21"	"1971"	"1971"	"Male"	"M"	300	1620705	18.5	0.1%
"Total"	"Kentucky"	"21"	"1971"	"1971"			396	3303591	12.0	0.1%
	"Kentucky"	"21"	"1972"	"1972"	"Female"	"F"	100	1699946	5.9	0.0%
	"Kentucky"	"21"	"1972"	"1972"	"Male"	"M"	336	1635855	20.5	0.1%
"Total"	"Kentucky"	"21"	"1972"	"1972"			436	3335801	13.1	0.2%
	"Kentucky"	"21"	"1973"	"1973"	"Female"	"F"	103	1719463	6.0	0.0%
	"Kentucky"	"21"	"1973"	"1973"	"Male"	"M"	321	1650046	19.5	0.1%
"Total"	"Kentucky"	"21"	"1973"	"1973"			424	3369509	12.6	0.2%
	"Kentucky"	"21"	"1974"	"1974"	"Female"	"F"	94	1743133	5.4	0.0%
	"Kentucky"	"21"	"1974"	"1974"	"Male"	"M"	327	1671944	19.6	0.1%
"Total"	"Kentucky"	"21"	"1974"	"1974"			421	3415077	12.3	0.2%
	"Kentucky"	"21"	"1975"	"1975"	"Female"	"F"	91	1771151	5.1	0.0%
	"Kentucky"	"21"	"1975"	"1975"	"Male"	"M"	378	1697058	22.3	0.1%
"Total"	"Kentucky"	"21"	"1975"	"1975"			469	3468209	13.5	0.2%
	"Kentucky"	"21"	"1976"	"1976"	"Female"	"F"	112	1802570	6.2	0.0%
	"Kentucky"	"21"	"1976"	"1976"	"Male"	"M"	320	1729152	18.5	0.1%
"Total"	"Kentucky"	"21"	"1976"	"1976"			432	3531722	12.2	0.2%
	"Kentucky"	"21"	"1977"	"1977"	"Female"	"F"	114	1827839	6.2	0.0%
	"Kentucky"	"21"	"1977"	"1977"	"Male"	"M"	361	1751863	20.6	0.1%
"Total"	"Kentucky"	"21"	"1977"	"1977"			475	3579702	13.3	0.2%
	"Kentucky"	"21"	"1978"	"1978"	"Female"	"F"	92	1846774	5.0	0.0%
	"Kentucky"	"21"	"1978"	"1978"	"Male"	"M"	344	1767297	19.5	0.1%
"Total"	"Kentucky"	"21"	"1978"	"1978"			436	3614071	12.1	0.2%
"Total"	"Kentucky"	"21"					4574	37155705	12.3	1.7%
	"Louisiana"	"22"	"1968"	"1968"	"Female"	"F"	76	1832238	4.1	0.0%
	"Louisiana"	"22"	"1968"	"1968"	"Male"	"M"	234	1743636	13.4	0.1%
"Total"	"Louisiana"	"22"	"1968"	"1968"			310	3575874	8.7	0.1%
	"Louisiana"	"22"	"1969"	"1969"	"Female"	"F"	103	1854767	5.6	0.0%
	"Louisiana"	"22"	"1969"	"1969"	"Male"	"M"	228	1759948	13.0	0.1%
"Total"	"Louisiana"	"22"	"1969"	"1969"			331	3614715	9.2	0.1%
	"Louisiana"	"22"	"1970"	"1970"	"Female"	"F"	81	1873537	4.3	0.0%
	"Louisiana"	"22"	"1970"	"1970"	"Male"	"M"	255	1775755	14.4	0.1%
"Total"	"Louisiana"	"22"	"1970"	"1970"			336	3649292	9.2	0.1%
	"Louisiana"	"22"	"1971"	"1971"	"Female"	"F"	91	1906131	4.8	0.0%
	"Louisiana"	"22"	"1971"	"1971"	"Male"	"M"	240	1807677	13.3	0.1%
"Total"	"Louisiana"	"22"	"1971"	"1971"			331	3713808	8.9	0.1%
	"Louisiana"	"22"	"1972"	"1972"	"Female"	"F"	102	1930255	5.3	0.0%
	"Louisiana"	"22"	"1972"	"1972"	"Male"	"M"	294	1830821	16.1	0.1%
"Total"	"Louisiana"	"22"	"1972"	"1972"			396	3761076	10.5	0.1%
